x	y
3097	3.267e3
3097	3.260e3
3097	3.257e3
3097	3.246e3
3097	3.239e3
3097	3.246e3
3097	3.252e3
3097	3.248e3
3097	3.239e3
3097	3.243e3
3097	3.220e3
3097	3.205e3
3097	3.224e3
3097	3.226e3
3097	3.230e3
3097	3.252e3
3097	3.264e3
3097	3.263e3
3097	3.275e3
3097	3.303e3
3097	3.332e3
3097	3.338e3
3097	3.325e3
3097	3.332e3
3097	3.313e3
3097	3.312e3
3097	3.298e3
3097	3.271e3
3097	3.245e3
3097	3.230e3
3097	3.215e3
3097	3.197e3
3097	3.180e3
3097	3.152e3
3097	3.152e3
3097	3.129e3
3097	3.124e3
3097	3.128e3
3097	3.136e3
3097	3.154e3
3098	3.167e3
3098	3.175e3
3098	3.159e3
3098	3.164e3
3098	3.150e3
3098	3.140e3
3098	3.119e3
3098	3.109e3
3098	3.109e3
3098	3.120e3
3098	3.101e3
3098	3.086e3
3098	3.084e3
3098	3.092e3
3098	3.082e3
3098	3.074e3
3098	3.068e3
3098	3.065e3
3098	3.060e3
3098	3.062e3
3098	3.059e3
3098	3.063e3
3098	3.057e3
3098	3.056e3
3098	3.045e3
3098	3.058e3
3098	3.047e3
3098	3.051e3
3098	3.056e3
3098	3.064e3
3098	3.059e3
3098	3.030e3
3098	3.017e3
3098	3.010e3
3098	2.985e3
3098	3.003e3
3098	3.014e3
3098	3.025e3
3098	3.032e3
3098	3.043e3
3098	3.037e3
3099	3.049e3
3099	3.049e3
3099	3.034e3
3099	3.044e3
3099	3.058e3
3099	3.094e3
3099	3.114e3
3099	3.118e3
3099	3.132e3
3099	3.118e3
3099	3.121e3
3099	3.126e3
3099	3.133e3
3099	3.126e3
3099	3.136e3
3099	3.141e3
3099	3.144e3
3099	3.143e3
3099	3.164e3
3099	3.168e3
3099	3.163e3
3099	3.167e3
3099	3.160e3
3099	3.159e3
3099	3.172e3
3099	3.186e3
3099	3.205e3
3099	3.230e3
3099	3.251e3
3099	3.246e3
3099	3.243e3
3099	3.263e3
3099	3.288e3
3099	3.302e3
3099	3.310e3
3099	3.300e3
3099	3.302e3
3099	3.301e3
3099	3.288e3
3099	3.269e3
3099	3.244e3
3100	3.241e3
3100	3.258e3
3100	3.262e3
3100	3.291e3
3100	3.284e3
3100	3.292e3
3100	3.285e3
3100	3.287e3
3100	3.279e3
3100	3.270e3
3100	3.274e3
3100	3.296e3
3100	3.320e3
3100	3.317e3
3100	3.308e3
3100	3.279e3
3100	3.244e3
3100	3.244e3
3100	3.233e3
3100	3.217e3
3100	3.207e3
3100	3.201e3
3100	3.184e3
3100	3.165e3
3100	3.147e3
3100	3.143e3
